name,nationality,total_time,division,season,location
"Chen, Youyu",HYROX,96.76666666666667,open,6,taipei
"Cheng, Bernard",AUS,92.95,open,6,taipei
"Chen, Iwei",HYROX,100.7,open,6,taipei
"Chen, Melvin",GBR,116.8,open,6,taipei
"Chen, Ting-Shuo",HYROX,131.4,open,6,taipei
"Cheng, Laiyoung",THA,121.98333333333333,pro,6,taipei
"Cheng, Kwong Yin",HKG,94.5,pro,6,taipei
"Chen, David",HYROX,99.58333333333333,pro,6,taipei
"Cheng, Eugene",AUS,116.96666666666667,pro,6,taipei
"Terry Chen, 松駿 吳","TPE, TPE",77.31666666666666,doubles,6,taipei
"Che Ho Adrian Wai, Kit On Raymond Cheng","HKG, HKG",99.33333333333333,doubles,6,taipei
"Zorikto Tsydypov, Vic Chen","RUS, TPE",119.91666666666667,doubles,6,taipei
"Cheng, Wei Bin",SIN,114.71666666666667,open,7,beijing
"Lihan Zhang, Chenlai Shi","CHN, CHN",96.46666666666667,doubles,7,beijing
"Yao, Chua Chen",MAS,103.4,open,7,shanghai
"Chen, David Yiding",USA,87.86666666666666,open,7,shanghai
"Paschen, Robert",USA,88.71666666666667,open,7,shanghai
"丹升 周, ZHOU CHENYUE","CHN, SIN",88.13333333333334,doubles,7,shanghai
"YEN-TING CHEN, KAI-HAN SU","TPE, TPE",88.01666666666667,pro_doubles,7,shanghai
"Yu, Chenhan",HYROX,80.98333333333333,open,7,taipei
"Chen, Lien-Chen",HYROX,85.36666666666666,open,7,taipei
"Chen, David",USA,83.96666666666667,open,7,taipei
"Liu, Zhaochen",HYROX,105.46666666666667,open,7,taipei
"Chen, Norman",HYROX,107.96666666666667,open,7,taipei
"Chen, Daniel",MAS,109.06666666666666,open,7,taipei
"HSU, YUN-CHEN",HYROX,111.05,open,7,taipei
"kuo, HanCheng",HYROX,95.01666666666667,open,7,taipei
"Chen, Jacob",HYROX,141.0,open,7,taipei
"Cheong, Cheng Hsiang",MAS,169.41666666666666,open,7,taipei
"CHEN, ETHAN",HYROX,159.21666666666667,open,7,taipei
"Wu, Chen-Wei",HYROX,119.5,open,7,taipei
"Chen, PingJu",HYROX,130.0,open,7,taipei
"CHEN, HUNGBIN",HYROX,95.55,pro,7,taipei
"Chen, Terry",HYROX,102.36666666666666,pro,7,taipei
"CHEN, IWEI",HYROX,115.73333333333333,pro,7,taipei
"Simon Chen, Calvin Chan","NZL, USA",71.51666666666667,doubles,7,taipei
"Kevin Chenggong Yin, Alessandro Calo","HKG, HKG",77.4,doubles,7,taipei
"Chen Yu Tsai, 耘廷 郭","TPE, TPE",92.4,doubles,7,taipei
"Jack Chen, RIch Lee","TPE, TPE",97.01666666666667,doubles,7,taipei
"Vic Chen, Zorikto Tsydypov","TPE, RUS",132.21666666666667,doubles,7,taipei
"Hsin Chih Cheng, Jay Thian","SIN, TPE",139.0,doubles,7,taipei
"Kevin Chen, Heejoon Kim","TPE, KOR",107.55,doubles,7,taipei
"Han Feng Lim, Chen Shun Teng","SIN, SIN",81.35,doubles,7,taipei
"PinHsuan Wu, Mu Chen Lee","TPE, TPE",82.43333333333334,doubles,7,taipei
"Lucas Fülling, Lei Chen","GER, TPE",88.3,doubles,7,taipei
"Reeve Goh, Jian Cheng Goh","SIN, SIN",88.4,doubles,7,taipei
"Cheng Han Yang, Sih Yuan Wong","TPE, TPE",90.7,doubles,7,taipei
"Hsin lin Chen, Yen-Cheng Lai","TPE, TPE",91.6,doubles,7,taipei
"Jeffrey Chen, Jason Chen","HKG, HKG",81.46666666666667,doubles,7,taipei
"Clifford Yow, Vik Zeng Peicheng","SIN, SIN",82.11666666666666,doubles,7,taipei
"CHIHYU Hou, Yi Chun Chen","TPE, TPE",90.06666666666666,doubles,7,taipei
"Andrew Wu, Eugene Cheng","USA, AUS",84.26666666666667,pro_doubles,7,taipei
"Cheng, Raymond",SIN,89.91666666666667,open,8,beijing
"Chen, Peng",CHN,148.1,open,8,beijing
"Cheng, Edwin",HKG,104.95,open,8,beijing
"Chang, Kaichen",CHN,102.85,pro,8,beijing
"Norman Lim Cheng Jun, Rabi Ramaswamy","SIN, SIN",72.96666666666667,doubles,8,beijing
"Chenyue Zhou, 开鑫 江","SIN, CHN",86.21666666666667,doubles,8,beijing
"Jeffrey Chau, Yuncheng Chen","HKG, CHN",80.15,doubles,8,beijing
"Zhe Xin, Yunfeng Cheng","CHN, CHN",85.41666666666667,doubles,8,beijing
"Yu, Cheng Wei",CHN,74.51666666666667,open,8,shanghai
"Cheng, Jiwei",CHN,86.55,open,8,shanghai
"Chen, Yuanmin",CHN,86.1,open,8,shanghai
"Paschen, Robert",USA,84.78333333333333,open,8,shanghai
"Cheng, Ho Fung",HKG,98.55,open,8,shanghai
"Zhou, Chenyue",SIN,91.65,open,8,shanghai
"Guo, Shucheng",CHN,91.88333333333334,open,8,shanghai
"Tawei Chou, Beichen Mao","CAN, HKG",79.43333333333334,doubles,8,shanghai
"Ho Lam Gary Ting, Lik Man Paul Cheng","HKG, HKG",79.91666666666667,doubles,8,shanghai
"Yuncheng Chen, Fong Ting Jeffrey Chau","CHN, HKG",74.86666666666666,doubles,8,shanghai
"Yeung Chong, Ka Chun Cheng","HKG, HKG",84.41666666666667,doubles,8,shanghai
"Wong Wai Chung Winson, Edwin Cheng","HKG, HKG",84.75,doubles,8,shanghai
"平安 孙, Junchen Zhang","CHN, HKG",85.43333333333334,doubles,8,shanghai
"Kaichen Chang, 锴 黄","CHN, CHN",89.56666666666666,pro_doubles,8,shanghai
"SI, CHENG LONG",MAC,70.21666666666667,open,8,shenzhen
"CHENG, Chi lok",HKG,105.1,open,8,shenzhen
"Cheng, Alvin Nelson",HKG,108.23333333333333,open,8,shenzhen
"Cheng, Ka Ho Tony",HKG,133.66666666666666,open,8,shenzhen
"CHENG, Terry",HKG,89.93333333333334,open,8,shenzhen
"Cheng, Chun Hei Scott",HKG,81.56666666666666,open,8,shenzhen
"Tai, Chen Lye",SIN,82.4,open,8,shenzhen
"Cheng, Kwong Yin",HKG,94.18333333333334,pro,8,shenzhen
"Xu, Chen",CAN,132.38333333333333,pro,8,shenzhen
"JENCHIEH CHENG, Wong Michael","CHN, HKG",102.26666666666667,doubles,8,shenzhen
"Sze Long Chen, 思乐 陈","HKG, HKG",95.63333333333334,doubles,8,shenzhen
"Edward Oh, Jonathan Cheng","GBR, CHN",73.35,doubles,8,shenzhen
"Jason Chen, Jeffrey Chen","HKG, HKG",73.61666666666666,doubles,8,shenzhen
"Sum Huang, Chun Hei Scott Cheng","HKG, HKG",76.51666666666667,doubles,8,shenzhen
"Chi yung Cheng, 家文 樊","HKG, HKG",72.5,pro_doubles,8,shenzhen
"开鑫 江, CHENYUE ZHOU","CHN, SIN",87.65,pro_doubles,8,shenzhen
